Date/Time,Type,Mode_of_Communication,Patron type,Details,Location
8/25/14 10:36,Technical/Computing,In Person,Undergrad,Printing,Oakland
8/25/14 10:59,Technical/Computing,In Person,Undergrad,,Oakland
8/25/14 11:14,Directional,In Person,,,Oakland
8/25/14 11:18,Reference,In Person,,,Oakland
8/25/14 13:08,Directional,In Person,,,Oakland
8/25/14 13:24,Technical/Computing,In Person,parent of student,,Oakland
8/25/14 13:28,Directional,In Person,,Printing,Oakland
8/25/14 13:28,Technical/Computing,In Person,,Printing,Oakland
8/25/14 13:55,Technical/Computing,In Person,,Printing,Oakland
8/25/14 13:58,Directional,In Person,,,Oakland
8/25/14 14:01,Directional,In Person,Undergrad,Printing,San Francisco
8/25/14 14:05,Technical/Computing,In Person,Undergrad,Printing,San Francisco
8/25/14 14:43,Service,Phone,Faculty,,San Francisco
8/25/14 14:43,Technical/Computing,In Person,,Printing,Oakland
8/25/14 14:45,Service,In Person,,,Oakland
8/25/14 14:46,Technical/Computing,In Person,,Printing,Oakland
8/25/14 14:51,Service,In Person,Undergrad,Printing,San Francisco
8/25/14 15:12,Directional,In Person,Undergrad,,San Francisco
8/25/14 15:34,Technical/Computing,In Person,,Printing,Oakland
8/25/14 15:35,Technical/Computing,In Person,,Printing,Oakland
8/25/14 15:36,Technical/Computing,In Person,Grad Student,Printing,Oakland
8/25/14 16:13,Reference,In Person,Undergrad,,San Francisco
8/25/14 16:14,Directional,In Person,,,Oakland
8/25/14 16:14,Reference,In Person,Grad Student,,San Francisco
8/25/14 16:14,Directional,In Person,Undergrad,,San Francisco
8/25/14 16:14,Reference,In Person,Undergrad,Materials Library,San Francisco
8/25/14 16:14,Reference,In Person,Undergrad,Materials Library,San Francisco
8/25/14 16:19,Reference,In Person,Grad Student,,San Francisco
8/26/14 9:26,Directional,In Person,Undergrad,,Oakland
8/26/14 9:41,Directional,In Person,Grad Student,,San Francisco
8/26/14 10:11,Technical/Computing,In Person,,Printing,Oakland
8/26/14 10:11,Technical/Computing,In Person,,Printing,Oakland
8/26/14 10:11,Technical/Computing,In Person,,Printing,Oakland
8/26/14 10:23,Directional,In Person,Undergrad,,Oakland
8/26/14 10:23,Technical/Computing,In Person,,Printing,Oakland
8/26/14 10:23,Technical/Computing,In Person,,,Oakland
8/26/14 10:31,Technical/Computing,In Person,Undergrad,,Oakland
8/26/14 10:50,Technical/Computing,In Person,Undergrad,Printing,Oakland
8/26/14 10:51,Technical/Computing,In Person,Undergrad,Printing,Oakland
8/26/14 11:24,Technical/Computing,In Person,Faculty,Printing,Oakland
8/26/14 11:24,Service,Phone,patron's relative,,Oakland
8/26/14 11:15,Directional,In Person,,,Oakland
8/26/14 12:50,Directional,In Person,Undergrad,,San Francisco
8/26/14 13:37,Service,In Person,Staff,,Oakland
8/26/14 14:39,Directional,In Person,Grad Student,,San Francisco
