Type,Mode_of_Communication,Location
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Directional,In Person,Oakland
Reference,In Person,Oakland
Directional,In Person,Oakland
Technical/Computing,In Person,Oakland
Directional,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,San Francisco
Technical/Computing,In Person,San Francisco
Service,Phone,San Francisco
Technical/Computing,In Person,Oakland
Service,In Person,Oakland
Technical/Computing,In Person,Oakland
Service,In Person,San Francisco
Directional,In Person,San Francisco
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Reference,In Person,San Francisco
Directional,In Person,Oakland
Reference,In Person,San Francisco
Directional,In Person,San Francisco
Reference,In Person,San Francisco
Reference,In Person,San Francisco
Reference,In Person,San Francisco
Directional,In Person,Oakland
Directional,In Person,San Francisco
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Directional,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Service,Phone,Oakland
Directional,In Person,Oakland
Directional,In Person,San Francisco
Service,In Person,Oakland
Directional,In Person,San Francisco
Directional,In Person,San Francisco
Directional,In Person,San Francisco
Service,In Person,San Francisco
Technical/Computing,In Person,Oakland
Service,Phone,San Francisco
Service,In Person,San Francisco
Service,In Person,San Francisco
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,Email,Online
Service,In Person,San Francisco
Directional,In Person,Oakland
Service,In Person,San Francisco
Service,In Person,San Francisco
Directional,In Person,San Francisco
Reference,In Person,San Francisco
Directional,In Person,San Francisco
Technical/Computing,Email,Online
Directional,In Person,San Francisco
Technical/Computing,Email,Online
Directional,In Person,San Francisco
Directional,Phone,Oakland
Service,In Person,San Francisco
Directional,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,Oakland
Service,In Person,San Francisco
Directional,In Person,Oakland
Service,Email,San Francisco
Reference,In Person,Oakland
Technical/Computing,In Person,Oakland
Service,Phone,Oakland
Service,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Service,Phone,Oakland
Technical/Computing,In Person,Oakland
Service,In Person,Oakland
Service,In Person,Oakland
Service,In Person,San Francisco
Directional,In Person,San Francisco
Directional,In Person,San Francisco
Service,In Person,San Francisco
Service,In Person,Oakland
Directional,In Person,San Francisco
Service,In Person,San Francisco
Directional,In Person,San Francisco
Technical/Computing,In Person,San Francisco
Reference,In Person,San Francisco
Reference,In Person,San Francisco
Directional,In Person,San Francisco
Service,Phone,San Francisco
Service,Phone,Oakland
Technical/Computing,In Person,Oakland
Technical/Computing,In Person,Oakland
Directional,In Person,Oakland
Service,Phone,San Francisco
Directional,In Person,San Francisco
Directional,In Person,San Francisco
Service,In Person,Oakland
Reference,In Person,Oakland
Technical/Computing,In Person,Oakland
Directional,In Person,San Francisco
Reference,In Person,San Francisco
Directional,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,Oakland
Directional,In Person,Oakland
Reference,In Person,San Francisco
Technical/Computing,In Person,Oakland
Directional,In Person,San Francisco
Service,In Person,San Francisco
Service,In Person,San Francisco
Directional,In Person,San Francisco
Directional,In Person,San Francisco
